example_id,customer_message,auto_intent,human_intent,auto_should_escalate,human_should_escalate,human_escalation_reason,annotator_notes
1,@115873 can’t yall deactivate my account so I can create a new account. My email address and phone number is in use on two different accounts and yall don’t respond to any emails.,account_access,account_access,False,False,,Wants account deactivation to resolve duplicate email/phone conflict across two accounts. Fits account_access.
2,"@Uber_Support absolutely pathetic. Booked two Uber drivers this evening, called them and they said they'll come. None of them bothered to come.",ride_status,ride_status,False,False,,Driver no-show/cancellation complaint. Classified as ride_status.
3,Hey @115873 my driver decided to take a five minute coffee break and fill up in the middle of my ten minute drive. This is a joke right?,ride_status,ride_status,False,False,,Driver took coffee break during trip. Classified as ride_status.
4,".@McDonalds @115877 add buffalo sauce as an option on UberEATS guys, I’m sick and FUCKING tired of having to describe buffalo sauce word from word to my driver, while using sriracha sauce as a place holder. Give buffalo sauce a spot right now or I swear to frickin christ I’ll c",ride_status,app_functionality,False,False,,Customer requesting missing menu option in UberEATS app interface. Fits app_functionality.
5,@Uber_Support  my uber didn’t turn up and I got charged for it pleas can you help,trip_fare_dispute,trip_fare_dispute,False,False,,Charged for a ride where the driver didn't show up. Fits trip_fare_dispute.
6,@Uber_Support why won't the app accept my debit card?,app_functionality,account_access,False,False,,Debit card payment method setup/verification failure. Fits account_access.
7,Honestly men don't understand how genuinely scary it is to be the only girl out on a street full of men at night,other,other,False,False,,General social commentary about safety. Unrelated to any Uber trip or account.
8,@Uber_Support  I have called a driver and emailed uber multiple times about lost items and still won’t get a response. What do I do?,ride_status,ride_status,False,True,Unresolved lost item in vehicle with driver non-responsive,Customer left item in cab and driver is not responding. Lost items must escalate.
9,"@Uber_Support love how my ride was $16, i got charged $18 for it and only one of the 3 people i split it with was charged $10. Get your shit together, and stop sending me automated responses when I try to get help. Your worse then Lyft.",ride_status,trip_fare_dispute,False,False,,Inconsistent charges on split fare. Primary is fare.
10,@Uber_Support today’s fare was charged more than the amount listed I paid INR 414...instead 129...GPS took us through a complete different route &amp; driver followed it blindly https://t.co/hDhgm3A3Vc,ride_status,trip_fare_dispute,False,False,,Disputing overcharge on fare (INR 414 instead of 129) due to incorrect routing. Fits trip_fare_dispute.
11,@115877 how do i go about getting the time of a schudueled order changed w/o cancelling?,other,other,False,False,,General inquiry on scheduled order modifications. Classified as other.
12,@Uber_Support Please send details for a customer support email as I have a complaint which I would like addressing.,ride_status,complaint,False,False,,Request for support details to file a complaint. Classified as complaint.
13,@Uber_Support SOS. Hi. Guys. I left my phone in the cab. When I am connecting with the driver he is not responding. Could you please help me with this ?,ride_status,ride_status,True,True,Lost item (phone) left in vehicle with non-responsive driver,Customer left phone in cab and driver is not responding. Lost items must escalate.
14,@115873 fucking £25 for a 10 minute taxi journey are you fucking kidding ... won't be using ever again! https://t.co/jDibkQMwQw,other,other,False,False,,Aligned with automatic classification.
15,@Uber_Support please help! I sent you a DM.,other,other,False,True,Insufficient information in public message to address issue safely,Extremely vague message with no context. Escalate for human triage.
16,"@115873 HOw do you sign into Uber and order a ride if you lost your phone? 
What is the point of sending a verification code to a missing/dead phone?",ride_status,ride_status,False,True,Lost item left in vehicle,"Lost item recovery request, must escalate."
17,@Uber_Support  can anyone help me? PLSSSSSSSSSSSSSSSSSSSSSSSSSSS,other,other,False,True,Insufficient information in public message to address issue safely,Vague cry for help with no details. Escalate for human triage.
18,@115877 just had a delivery it’s wrong so called the driver ....called me a fucking dumb bitch and told me to get the fuck off his line,ride_status,complaint,False,True,Severe driver verbal abuse and profanity directed at customer,"Customer verbally abused by driver. Severe behavior complaint, must escalate."
19,Uhmm @115877 I think someone has messed up my McDonalds order.. https://t.co/oqGCUqa9qn,other,other,False,False,,Aligned with automatic classification.
20,With Uber you have the freedom to make money whenever you like. You decide. https://t.co/tGfDFi2WlK,other,other,True,False,,Promotional content. No support issue.
21,Buyers beware. @115873 will change your charge without notifying you. The price I requested was $30 and they charged $56 behind my back. What's the point of having a price then? How is this legal? #uber #malpractice,trip_fare_dispute,trip_fare_dispute,False,True,Regulatory/legal challenge regarding unauthorized price changes,Disputing a price hike. Escalates due to legal/malpractice concerns.
22,"@115873 @Uber_Support I just got charged £122,50 for what was supposed to be a £9-£12 Uber ride - please help!!!",ride_status,trip_fare_dispute,False,True,High-value fare dispute exceeding $50 threshold (£122.50 charge),"Disputing £122.50 charge. High-value dispute (> $50), must escalate."
23,@Uber_Support hi ive tried to order food a couple times in the last hour and its cancelled every time can you help me find out if this is an issue with my account or its the restaurant or lack of drivers or something,ride_status,ride_status,False,False,,Repeated order cancellations. Ride/order status.
24,@Uber_Support why is my account disabled,account_access,account_access,False,True,Account-level investigation needed for disabled driver/customer account,Rider/driver asks why account is disabled. Requires account-level investigation to resolve.
25,"@Uber_Support Hi, can't send ""GO"" to 827222. I'm using non-UK number and I just can't send the text. (Uber UK)",other,other,False,False,,Aligned with automatic classification.
26,@Uber_Support Do something!!!!,other,other,False,True,Insufficient information in public message to address issue safely,Vague exclamation with no details. Escalate for human verification.
27,@115873 we need help finding my dads phone!!!! It was left in an uber in Indianapolis yesterday. Help us track down Samuel in the gold Toyota Sienna please?!,other,ride_status,False,True,Lost item (phone) left in vehicle,Lost phone left in vehicle. Escalates.
28,@Uber_Support how is a Lincoln MKT an XL vehicle?? Third time I've been turned down because I had gear with me. I'm calling an XL so I can have access to the trunk space.,other,other,False,False,,Aligned with automatic classification.
29,@Uber_Support i ordered uber eats and i️t said 2 something as the price but you guys took $10 from my card,trip_fare_dispute,trip_fare_dispute,False,False,,Aligned with automatic classification.
30,Just had a spectacularly poor experience with @115877 and their customer service department. I will no longer be a customer of theirs and I urge all of you to take your business elsewhere for food delivery. They are the worst.,complaint,complaint,True,False,,"Venting extreme dissatisfaction with support and service. Negative sentiment only, fits complaint."
31,@Uber_Support how long till I can expect a reply after I had missing items and cold food for my delivery today? 😡,ride_status,ride_status,False,False,,Aligned with automatic classification.
32,Riddle me this @115873 I canceled my Uber so I️ get the $5 cancel fee right? This morning I️ wake up with a $150 charge for a cleaning fee. How does one make a mess in a car that they were never in.......?!? How is this even a dispute when I️t clearly reads I️ canceled my ride. https://t.co/rWdpXVWREd,ride_status,trip_fare_dispute,False,True,High-value fare dispute regarding a $150 cleaning fee charge,"Disputing a $150 cleaning fee for a cancelled trip. High-value dispute (> $50), must escalate."
33,Not in the zone for @115877 either. Why waste your time if you only deliver to no one @Uber_Support https://t.co/3H74Sq5w5n,other,other,False,False,,Customer complains about delivery zone coverage. Classified as other.
34,"@Uber_Support Hi, I ordered a chinese on ubereats and an items missing. Not impressed",other,other,False,False,,Aligned with automatic classification.
35,@Uber_Support is there an easy way to know whether a trip has GST on it or not?,ride_status,other,False,False,,"General inquiry about GST on trips, not a specific dispute. Classified as other."
36,"hey @Uber_Support i got a problem with my account, i can't change the phone number associate to it 😕",account_access,account_access,False,False,,Aligned with automatic classification.
37,"@Uber_Support can you maybe not charge me for no reason EVERY single time I take an Uber?? that would b really cool. also, I want my money back. thanks",refund_request,refund_request,False,False,,Explicit refund request in text.
38,"@Uber_Support currently on a trip where the driver is incapable of following satnav, has taken a wrong turning, delaying the journey by 30 mins. Please advise on refund",refund_request,refund_request,False,False,,Explicit refund request in text.
39,update: i texted and called the driver and after 20 minutes of not hearing back i had to pay money to cancel the ride that was never gonna show up and now i'm late for work!!!!! thanks a lot @115873 @Uber_Support https://t.co/XysHu2YTdW,ride_status,cancellation,False,False,,Customer-initiated cancellation request or fee dispute.
40,"@Uber_Support I have not been able to ""cashout"" for 3 days. It says ""hmm, looks like we're having trouble reaching the Uber servers"". Any help?",other,other,False,False,,Aligned with automatic classification.
41,@115877 do you deliver to the door?,other,other,False,False,,Aligned with automatic classification.
42,"Hey, @115877, why should it take you 24 hours to get back me on a delivery issue from this morning?",other,complaint,False,False,,Complaint about customer support response delay. Fits complaint.
43,"@Uber_Support for a trip of 3.91 kms . I was charged 140 INR. What's the hell, why I was charge fare for 24.69 kms? What's wrong with Uber India?",ride_status,ride_status,False,False,,Aligned with automatic classification.
44,"@Uber_Support so my apps keeps calling Ubers that I did not order, restated my phone, deleted the app. Still calling rides please help! #P.S I've been charged $5 for a ride I didn't call or take. This is the second time 🤔😩",ride_status,account_access,False,True,Potential unauthorized account activity / ghost bookings and charges,Customer reports unauthorized ride requests and charges. Escalate for potential account compromise.
45,"Absolutely terrible customer service from Uber Eats. Order didn't get delivered, money was still charged and a written complaint has gone unacknowledged even after two whole days. @Uber_Support @115877 @4377",trip_fare_dispute,trip_fare_dispute,False,False,,"Charged for order that was not delivered. Disputing the charge, fits trip_fare_dispute."
46,"Really don’t need this on a Sunday, nice one @115877 https://t.co/eWc669Jl9H",other,complaint,False,False,,Sarcastic vent about Sunday order issues. Fits complaint.
47,"@Uber_Support somebody response me,  trying to contact driver but he failed to answer my call last 20 min. https://t.co/h8tI84UlZT",ride_status,ride_status,False,False,,Aligned with automatic classification.
48,"I'm actually hella nice to all the drivers idk wtf is up but fuck it im@gonna get anew number and shit and start a new account, it's about time I got a new number anyways. https://t.co/E9cPd2U5tZ",ride_status,ride_status,False,False,,Aligned with automatic classification.
49,"@Uber_Support your Uber eats shows up in plastic plates different model Car and held my food hostage in her car 2 blocks away, outside from apartment. Terms agreement was breached and she didn’t do her side and I want refund",refund_request,refund_request,False,False,,Explicit refund request in text.
50,@Uber_Support hey I read on your website that your delivery fee for Uber Eats is $4.99 but it's coming up as $19.96 for me. Any reason for this?,other,trip_fare_dispute,True,False,,Delivery fee vs advertised. Fare dispute.
51,"@115877 this was my second time ordering with uber eats and my $5 off promotion did not apply, can someone help please?",app_functionality,app_functionality,False,False,,Aligned with automatic classification.
52,"@Uber_Support why is my account not active.  Texas controls rideshare not the city’s.  I don’t have to have a dallas drivers permit,  yet I can’t drive because of you idiots that are clueless.",ride_status,account_access,False,True,Account-level investigation needed for inactive driver account,Driver account is inactive with regulatory complaints. Requires account-level investigation.
53,I paid for my friends @115873 last night to the Fremont Bart Station and the ride was $13 somehow I get charged $26 this morning???,ride_status,ride_status,False,False,,Aligned with automatic classification.
54,@Uber_Support I was shorted on a surge. I am owed money. There is no question the ping displayed 2.1x. Uber in app and phone support NO HELP. Where are cooperate email addresses listed? URGENT. I WILL NOT GIVE UP.,trip_fare_dispute,trip_fare_dispute,False,True,Unresolved surge dispute and request for corporate escalation emails,"Disputing surge charge, frustrated with routine support, asking for corporate emails. Escalates."
55,@115877 hi just placed a order promo code for first time order did not work and discount was not applied? Any help?,app_functionality,trip_fare_dispute,False,False,,Promo code discount not applied on order. Fits trip_fare_dispute.
56,Nearly run over by @115873 car turning right on red light without stopping.,other,ride_status,False,True,Pedestrian safety report regarding reckless driver behavior,"Pedestrian reports nearly being hit by an Uber. Serious safety/regulatory concern, must escalate."
57,"Dear @115873 I would like a refund on my ride where my driver did not return change in full. DM for further support, please #uber #uberindia #ubermumbai #uberrefund",refund_request,refund_request,False,False,,Explicit refund request in text.
58,@Uber_Support Uber eats won’t let me long in. Not getting the verification code to my phone...,account_access,account_access,False,False,,Aligned with automatic classification.
59,"Wow. @115873, your drivers are trying it.",ride_status,other,False,False,,"Vague, ambiguous comment about drivers. Low confidence, fits other."
60,"@115873 Pretty sure I left my phone in an uber last night, and I cannot log into my account because it asks for a verification code sent to my phone that is missing... Could you please help me out",account_access,ride_status,False,True,Lost item (phone) left in vehicle with 2FA access barrier,"Primary issue is retrieving a lost phone, though account login is blocked by 2FA. Escalates."
61,I am upset with @115873 I've been charged $36 for a trip that I normally pay $11-$15. Something isn't right I feel cheated taken advantage of.,ride_status,ride_status,False,False,,Aligned with automatic classification.
62,@Uber_Support my Uber account is not working!,account_access,account_access,False,False,,Aligned with automatic classification.
63,"Ok, @115873 , it is kinda BS that our driver cancels the ride and now we have to rebook and it costs more.",ride_status,ride_status,False,False,,Driver cancelled the ride. Belongs to ride_status.
64,When you try to order @115877 &amp; the driver THINKS HES PICKING U UP @ MCDONALDS &amp; THEN CANCELS UR ORDER LIKE FUUUUCK UUUUU,ride_status,ride_status,False,False,,Driver cancelled the food order. Fits ride_status.
65,"@115873 pls don’t bill us $5 when driver cancels. Yes we can dispute easily in settings but it’s a slap in the face to be stranded outside in the cold when we’re waiting, then billed for it. Your tech is sophisticated to know which party cancels so pls, bill only when we do.",ride_status,cancellation,False,False,,Customer-initiated cancellation request or fee dispute.
66,@115873 guys please can you give me my money.  You charged me twice,trip_fare_dispute,refund_request,False,False,,Explicit request for money back ('give me my money'). Fits refund_request.
67,"@Uber_Support ...need ya help getting my daughter’s wallet back from Uber driver in Tallahassee, Fl.  Shouldn’t be this hard when he admits he has it. WTH!",ride_status,ride_status,True,True,Lost item (wallet) left in vehicle with driver confirming they have it,Retrieving lost wallet from driver. Lost items in vehicles must escalate.
68,Great @162833 win. Great day for the kids. https://t.co/e06Ejwoq5g,other,other,False,False,,Aligned with automatic classification.
69,@Uber_Support Trying to reset my password but not receiving password reset email. Anyway to reset password without that email. __email__,account_access,account_access,False,False,,Aligned with automatic classification.
70,A very concerning charge just appeared on my @134015 card. Why is an @115873 in California charging me?  I need a refund and answers. https://t.co/QBCpC9XfbE,refund_request,refund_request,False,True,Potential fraudulent/unauthorized charge on credit card,"Customer reports a suspicious charge from a different state. Potential fraud, must escalate."
71,"I was charged for an @115873 ride when my driver never showed up at my house, didn't pick me up and was nowhere near my house when I got the message that I was on my way. They didn't even try to contact me...",ride_status,ride_status,False,False,,Aligned with automatic classification.
72,@Uber_Support can I get a written receipt so I can claim it back for business use?,trip_fare_dispute,other,False,False,,"Routine request for a receipt. General question, classified as other."
73,"@81661 @115873 @Uber_Support Uber profile shows 66% complete &amp; says add payment method. I have 5 payment methods set up. As a result, I cannot set up Uber on my Wink Relay. Help? Uber support team thinks I’m a driver. I’m not.",ride_status,ride_status,False,False,,Aligned with automatic classification.
74,@Uber_Support is there a way to check the status of my application to deliver with Uber Eats? Or to speed up the process I think all that is waiting was my insurance which I uploaded.,ride_status,account_access,False,False,,Inquiry regarding courier onboarding application status. Classified as account_access.
75,@Uber_Support pls help i’ve been charged £16.66 for an uber i never took,trip_fare_dispute,trip_fare_dispute,False,False,,Aligned with automatic classification.
76,@115877 hey y’all should have a option in the app to upload a photo of your food. I’ve gotten some janxy things delivered lately,app_functionality,app_functionality,False,False,,Aligned with automatic classification.
77,"@Uber_Support please answer your DMs, I have lost my phone I believe in one of your drivers cars, and I have not got his number as I can’t sign is because I have no phone and I need a verification code...which is stupid, PLEASE HELP !!!!!",ride_status,ride_status,False,True,Lost item (phone) left in vehicle with 2FA access barrier,"Primary issue is lost phone, with account 2FA blocking login. Escalates."
78,I don't know what customer service they have that don't even bother look at the receipt but i want my fucking money back. Thanks @Uber_Support https://t.co/Opln5f18Uy,refund_request,refund_request,False,False,,Explicit refund request in text.
79,No choice but to switch to @115879 because @115873 is unable to stop people from hacking my account.,account_access,account_access,False,True,Report of account being hacked / unauthorized access concerns,"Customer reports account hacked. Potential fraud/unauthorized activity, must escalate."
80,@Uber_Support Hi. How to I order an SUV for several adults and TWO CAR SEATS? I don't see how to get multiple car seats using the app. Thanks!,app_functionality,other,False,False,,General inquiry on ordering options and car seat policies. Classified as other.
81,@Uber_Support I just witness something amazing. One of your drivers harassed three teenage kids in the barbershop I work in. In front of our clients.,ride_status,complaint,False,True,Witness report of driver harassment of third-party individuals,"Witness report of driver harassing teenagers. Behavioral complaint, requires investigation."
82,@Uber_Support this is a case of harrasment and threat to ladies. I want assistance immediately,other,complaint,False,True,Customer reporting active harassment and safety threat,"Report of safety threat and harassment. Immediate safety concern, must escalate."
83,"@Uber_Support Hi, I left my phone behind in a UberX car about an hour ago. I cannot contact the driver because the verification code is being sent to the phone. The trip concluded at 4:39PM. Please can you assist?",ride_status,ride_status,False,True,Lost item (phone) left in vehicle with 2FA access barrier,Lost phone left in vehicle. Escalates.
84,So @115873 why does it take so long to review wrongful claims but @115879 handles it in an hour or so?,other,complaint,False,False,,Venting dissatisfaction about support response time. Fits complaint.
85,"Dear @115877, please spot the issue in this picture. Must be out your gottdamn minds. https://t.co/I4CEKLHlrQ",other,complaint,False,False,,Venting dissatisfaction with screenshot. Fits complaint.
86,@115873 can I used a Netspend card with y'all,other,other,False,False,,Aligned with automatic classification.
87,@115877 what do we do when the driver delivered the wrong order ?,ride_status,ride_status,False,False,,Aligned with automatic classification.
88,@116288 @Uber_Support @3533... before the ride the amount showed was for 820 rupees and now it got double!!! Please help😥 https://t.co/TzGuQXsbjN,ride_status,ride_status,False,False,,Aligned with automatic classification.
89,@Uber_Support Hi I've had problems with my promo code. I sent a DM please help,other,trip_fare_dispute,True,False,,Promo code problems. Classified as trip_fare_dispute.
90,Right on...great idea. It would be great customer service too. https://t.co/zvz9NI31Us,other,other,False,False,,Aligned with automatic classification.
91,@115877 my order was cancelled and y'all still took my money out of my account.,ride_status,trip_fare_dispute,False,False,,"Disputing charge for a cancelled order. Primary issue is money, fits trip_fare_dispute."
92,"Used @115873 for 1st time today. Was great. Used it 2nd time &amp; it sucked.  Driver never showed while I waited 15 mins in freezing conditions then charged me €5 cancellation.  Uber offered credit but I won't be back to Paris, they're closing in London!  Refund thanks @Uber_Support",refund_request,refund_request,False,False,,Explicit refund request in text.
93,@Uber_Support can you please help me to log into my account? Thanks.,account_access,account_access,False,False,,Aligned with automatic classification.
94,"If it costs us $5 to cancel an @115873, why don't we get $5 off our ride each driver that cancels on us when we are standing around waiting for them and they randomly bail on us?",ride_status,complaint,True,False,,Venting about general policy asymmetry regarding cancellation fees. General policy complaint.
95,@Uber_Support Why I'm i being charged for a trip i had to cancel as the driver decided he is too far away to come pick me up?,ride_status,cancellation,False,False,,Customer-initiated cancellation request or fee dispute.
96,@115873 Would you help @27183 distribute food for homeless this Xmas?,other,other,False,False,,Charity/partnership inquiry. Classified as other.
97,@Uber_Support My account has been disabled and I haven´t even used it for the first time!!! I am suposed to have a Free Uber ride from a friend. Who do I contact?? I can not even sign in!! Please heeeeeelp,ride_status,account_access,False,True,Account investigation needed for disabled driver/customer account,Customer cannot sign in because account is disabled. Escalates.
98,@Uber_Support I don't appreciate your driver's slimy comments.,ride_status,complaint,False,True,Driver inappropriate comments/behavior,Driver inappropriate behavior report. Requires safety investigation.
99,Does anyone have an #Uber @115873 code for a ride?,ride_status,ride_status,False,False,,Aligned with automatic classification.
100,"@118730 Hi, what's the story with this delivery fee that the app is trying to charge me for delivery??. It doesn't mention anything about minimum order value so can't be that!! #-ubereats https://t.co/TpsX8k7b2A",trip_fare_dispute,trip_fare_dispute,False,False,,Questioning delivery fee charge. Fits trip_fare_dispute.
101,".
.@115873 I’ve been waiting for 30 mins, now waiting for the 4th Uber driver. Drivers 1&amp;3 drove away from my location, driver 2 forgot his wallet, can’t get into my destination, driver 4 finally showed up 34 minutes after I called the first one.",ride_status,ride_status,False,False,,Multiple driver delays. No lost item.
102,@115873  waiting on a response from you - travelled 6.3 miles in Leicester and charged over £26!!!   Not happy Uber ! https://t.co/g7SL7BkPBu,ride_status,ride_status,False,False,,Aligned with automatic classification.
103,@115877 how do I get a refund? I ordered from sanjha chula (food sub-standard) and was sent something I did not order and charged. They have said I need to contact you to get a refund. First time ordering through you and not impressed.,refund_request,refund_request,False,False,,Explicit refund request in text.
104,"@115873 I ordered an Uber on Friday night from Birmingham, we were stood outside our hotel waiting and the driver turned up but then turned around, then I got charged £5.00 for cancelling it but we didn’t cancel and we were there! Not happy.",cancellation,cancellation,False,False,,Customer-initiated cancellation request or fee dispute.
105,@Uber_Support can you DM me please? My app is not working,app_functionality,app_functionality,False,False,,Aligned with automatic classification.
106,@Uber_Support can anyone help me with £50 payment for a fare last night that I didn’t use instead of a £5 cancellation fee which it should have been. Can’t find a contact number anywhere online. Thanks guys,cancellation,cancellation,False,True,High-value dispute regarding cancellation fee versus full trip charge (£50 payment),"Disputing £50 charge. High-value dispute exceeding $50, must escalate."
107,Hi @115873 can you tell your drivers that trans people exist so I can take one single ride without a driver saying I'm the first girl named Eli they've met?,ride_status,complaint,False,True,Driver comments on customer gender identity / transgender status,"Driver comments on gender identity. Safety/sensitivity concern, must escalate."
108,"@Uber_Support My local Cami Cakes is open every day, but UberEats shows it as closed every weekend. Sometimes, I want cupcakes on the weekends (especially on the weekends)! What's going on?",other,app_functionality,False,False,,"App showing a restaurant as closed incorrectly. Technical bug, classified as app_functionality."
109,"@Uber_Support some odd reason, I can't order from restaurants I've previously ordered from @115877 from the same location. Is there something wrong with the app?",app_functionality,app_functionality,False,False,,Aligned with automatic classification.
110,"@Uber_Support ordered a taxi from BHX International, app says 1min wait, can see three cabs on the map and parked outside, yet I have been picked up by a ride 15 mins away and charged if I cancel.... the sooner @115879 arrive and provide some competition the better!!!",cancellation,cancellation,False,False,,Customer-initiated cancellation request or fee dispute.
111,@115877 your service is garbage. After one poor experience I decided to try I again and was met with the same terrible service. Driver was provided the wrong address (again) and food arrived cold and inedible. Very disappointed.,ride_status,ride_status,False,False,,Aligned with automatic classification.
112,@Uber_Support YO My phone is in one of your cars. Maybe you might want to actually provide some support and respond to an F##$#$ing email. Only been trying to contact your organization for an hour.. oh yea.. cant take a phone call cause my phone is in your drivers car...,ride_status,ride_status,False,True,Lost item (phone) left in vehicle with delayed support response,Lost phone left in vehicle. Escalates.
113,@Uber_Support I have submitted two requests for help since yesterday. Both responses tell me that I should be able to receive uberx requests now. I still cannot. How do I fix this? https://t.co/iY7bylU9hF,other,other,False,False,,Aligned with automatic classification.
114,@Uber_Support I was supposed to receive a $5 from a trip and never got it. Is this how the company works?,ride_status,ride_status,False,False,,Aligned with automatic classification.
115,@Uber_Support Help. https://t.co/dkXnRbMdge,other,other,False,True,Insufficient information in public message to address issue safely,Vague support request. Escalates for safe human verification.
116,Pathetic experience @115873 .no support at all. Being overcharged so many times. Is someone listening @119983 @Uber_Support,trip_fare_dispute,trip_fare_dispute,False,False,,Disputing repeated overcharges. Fits trip_fare_dispute.
117,"@Uber_Support hello do hoy have a support 01800 in México, thanks",other,other,False,False,,Aligned with automatic classification.
118,"@Uber_Support @115873  @5484 FORGOT MOBILE IN CAB WHILE TRAVELLING FROM JAIPUR JN. TO PANCHASHIL ENCLAVE. 

We called from RMN but not helped.

Driver name is Rakesh.

Please help.

My registered mobile number is not connecting to Uber",ride_status,ride_status,False,True,Lost item (phone) left in vehicle,Lost phone left in vehicle. Escalates.
119,"@Uber_Support Please train your drivers in basic manners! When I politely point out that I’ve been stood outside my front door in the cold while my Uber waits outside the wrong house down the street, I don’t expect to be told ‘just be happy darling’.",ride_status,ride_status,False,False,,Aligned with automatic classification.
120,.@115873 allowing drivers to accept  trips before 1km of completion is stupid. waited 15mins before driver cancelled. He was polite to say now I'm cancelling.💩😤,ride_status,ride_status,False,False,,Driver cancelled trip. Belongs to ride_status.
121,@Uber_Support I'm upset about one of my Uber trips last night. My first Uber request in a Ford Explorer never showed up and still charged me,ride_status,trip_fare_dispute,False,False,,Disputing charge for ride that never showed up. Fits trip_fare_dispute.
122,@Uber_Support had lots of issues with the app this weekend. 3 pings shower addresses no even close to pax. Accepting some pings and system failed to connect.,app_functionality,app_functionality,False,False,,Aligned with automatic classification.
123,"@115873 can I have some free friends for the insane amount of times your drivers call me ""Peggie"" instead of ""Paige""",ride_status,ride_status,False,False,,Aligned with automatic classification.
124,@1582 @4735 Silver Nissan Ultima PA KFP-1244 2:30pm 12/3/17 on Columbus Blvd.  Reckless driving threatening other drivers.  Is this the type of drivers I can expect from Uber? https://t.co/MWSCMGA3Dv,ride_status,ride_status,False,True,Report of dangerous/reckless driver behavior,"Reporting driver's reckless driving. Safety/security concern, must escalate."
125,i lost my phone and cannot contact with the driver @115873,ride_status,ride_status,False,True,Lost item (phone) left in vehicle,Lost phone left in vehicle. Escalates.
126,@Uber_Support I was charged $75 for a $10 ride how do I dispute or find out why i was overcharged ? Why is there no way to speak directly with someone very frustrating,ride_status,trip_fare_dispute,False,True,High-value fare dispute exceeding $50 threshold ($75 charge),"Disputing $75 charge. High-value dispute (> $50), must escalate."
127,"@Uber_Support We didn’t recieve our complete order, what do we do now? Ghent, belgium",other,other,False,False,,Aligned with automatic classification.
128,Hey @115873. What’s up today? Drivers not picking up requests then canceling saying “traffic too long [sic]” when google shows traffic is fine?,ride_status,ride_status,False,False,,Drivers cancelling on passenger. Fits ride_status.
129,@Uber_Support hi ! I've paid twice for one traject. What can I do ?,other,other,False,False,,Aligned with automatic classification.
130,@115873 I just waited over 10 mins for a car that was supposed to be 3 mins away. It drove in circles. Then cancelled on me. And somehow I am charged 6 euro???? Please fix this.,ride_status,cancellation,False,False,,Customer-initiated cancellation request or fee dispute.
131,@115873 what happens when a driver don’t turn up and cancelled my fare and you lot charge me for it??,ride_status,cancellation,False,False,,Customer-initiated cancellation request or fee dispute.
132,"@Uber_Support someone signed up with my email (without dots, Google doesn't recognize dots in mails, and you should update your system to reflect this), so I'm receiving his trip notifications. Do something.

(The help section in your page is laughable).",ride_status,account_access,False,True,Unauthorized email registration and potential privacy breach,"Customer reports another user registered an account with their email address. Privacy/security concern, escalates."
133,@116276 @115873 blocked my id as they say that their terms and conditions were violated. Please let's say reset it to a new beginning and I'll  make sure that none of your condition would be violated!,account_access,account_access,False,True,Account-level investigation needed for blocked/banned account,Blocked driver account. Requires account investigation.
134,@115873 @Uber_Support I hope you and every single one of your drivers burn in the fiery pits of hell for eternity you are the worst service I have ever used. Been stranded at Walmart for a fucking hour and can't even request anymore rides cause ur drivers cancel on me,ride_status,complaint,False,False,,"Venting extreme dissatisfaction with drivers and service. Negative sentiment only, fits complaint."
135,"@115873 why the hell are you charging money to me even when driver has cancelled?
I talked to the driver on call he yook the info and later cancelled... https://t.co/okjs6Dta4u",ride_status,cancellation,False,False,,Customer-initiated cancellation request or fee dispute.
136,"@Uber_Support I ordered a mcdonalds yesterday through Uber eats (1st ever order) not only was it late and cold, it gave my GF severe food poisoning! She was being sick all night and today! I WANT A FULL REFUND! @2350 is the way forward!",refund_request,refund_request,False,True,Health safety report regarding severe food poisoning,"Report of severe food poisoning. Safety concern, must escalate."
137,@115873 @Uber_Support the uber pickup area at MetLife stadium is a joke. I am a season ticket holder and every week it’s madness to get home. There are 40+ cars waiting and 100+ customers waiting.  No one going anywhere. Maybe Lyft is better.,ride_status,complaint,False,False,,Venting about venue pickup layout and logistics. Fits complaint.
138,@Uber_Support hey I used a referral code but don't seem to have the credit applied to my account,account_access,trip_fare_dispute,False,False,,Disputing missing referral credit. Fits trip_fare_dispute.
