conversation_id,customer_message,brand_response,text,intent,should_escalate,thread_length,timestamp,num_customer_msgs,num_brand_msgs
2893882,Just setting up my Twitter. #myfirstTweet,"@802034 Thank you for reaching out, Isha. If you can, please follow up with any additional information or concerns through your established message thread via the in app support or through your email",Just setting up my Twitter. #myfirstTweet,other,True,10,2014-05-27 05:53:18+00:00,6,4
1442037,@Uber_Support I dropped my phone in the morning ride with Julian yesterday around 8am. I can only communicate thru you and email at the moment. help pls.,"@454581 We're here to help, Mike. Contact us via https://t.co/rOtqyWzf0B and we'll be in touch.",@Uber_Support I dropped my phone in the morning ride with Julian yesterday around 8am. I can only communicate thru you and email at the moment. help pls.,ride_status,False,3,2014-12-20 00:00:42+00:00,1,2
1286538,@115873 account __email__ deactivated with no reason. resolve this ASAP.,@420907 Happy to help! We follow up to in-app support inquiries in the order they are received. We appreciate your patience.,@115873 account __email__ deactivated with no reason. resolve this ASAP.,account_access,True,10,2015-01-16 21:52:41+00:00,7,3
1276423,@Uber_Support Can't see schedule a ride. Frustrated.,@418777 Here to help. Kindly send a note at: https://t.co/xMxswVLBKT so our team will get in touch.,@Uber_Support Can't see schedule a ride. Frustrated.,ride_status,False,5,2015-04-16 16:56:32+00:00,2,3
1578262,@115873 how honest are your drivers compared to @65496 #lostphone,"@486079 If you left something behind, you can always visit http://t.co/4KMxrxTYYX to retrieve a phone number to contact your driver.",@115873 how honest are your drivers compared to @65496 #lostphone,ride_status,False,5,2015-07-20 07:42:33+00:00,4,1
1861597,"@Uber_Support 
Hello uber_ support i have ready  all my documents and I'm waiting for answers. .please check my gmail and my account .",@556388 For your privacy we'd recommend connecting with us in DM and deleting any personal details you may have posted. https://t.co/sd7yH5jmbJ,"@Uber_Support 
Hello uber_ support i have ready  all my documents and I'm waiting for answers. .please check my gmail and my account .",ride_status,True,6,2015-08-06 20:39:13+00:00,3,3
2752806,MTSU Homecoming is around the corner! @116271 got a code for the good people of MTSU?,@425920 Hi there! Please reach out to https://t.co/QDn91HzZV0 and fill out the 4 boxes at the bottom so we can get in touch.,MTSU Homecoming is around the corner! @116271 got a code for the good people of MTSU?,other,False,4,2015-09-24 16:04:44+00:00,3,1
2469141,I just called for an uber and the guy said he didn't have any kittens what kind of national cat day is this ?,@706370 Hi there! Please reach out to https://t.co/zUe0dj6yoX and fill out the boxes at the bottom so we can get in touch.,I just called for an uber and the guy said he didn't have any kittens what kind of national cat day is this ?,other,True,8,2015-10-29 22:34:26+00:00,5,3
1606990,Um why is my uber account banned..?,@493627 Sorry to hear about the trouble. Please visit https://t.co/VmsUZ44fF6 for more information.,Um why is my uber account banned..?,account_access,False,3,2015-11-09 14:35:31+00:00,2,1
1475505,This is the second time I've had a @115873 driver named Muhammad start a conversation by asking what my ethnicity is.,@400872 Here to help! Connect with us through https://t.co/zUe0dj6yoX and we'll be in touch.,This is the second time I've had a @115873 driver named Muhammad start a conversation by asking what my ethnicity is.,ride_status,False,3,2016-01-20 15:43:22+00:00,2,1
