example_id,conversation_id,customer_message,auto_intent,should_escalate,escalation_reason,expected_resolution,annotator_notes
1,conv_0115,"My driver went completely off route and added 20 minutes to my trip",ride_status,,,"Review route deviation and refund fare difference",
2,conv_0113,"I was charged $49.99 for a ride that normally costs $15. This surge pricing is ridiculous",trip_fare_dispute,,,"Review surge pricing validity and potentially refund difference",
3,conv_0182,"Charged 3x for the same ride. My bank shows three identical transactions",trip_fare_dispute,,,"Identify duplicate charges and process refund for extra charges",
4,conv_0162,"Your driver was extremely rude and made inappropriate comments throughout the ride",complaint,,,"Log driver behavior complaint and take appropriate action",
5,conv_0178,"I need to cancel my ride but the app won't let me. I keep getting an error",cancellation,,,"Investigate app cancellation issue and process cancellation without fee",
6,conv_0021,"Where is my driver? The app says 3 minutes but it's been 15 minutes",ride_status,,,"Check driver location and provide accurate ETA",
7,conv_0123,"Charged twice for the same trip. I can see two identical charges on my card",trip_fare_dispute,,,"Identify duplicate charge and process refund",
8,conv_0191,"How long does it typically take for an Uber to arrive in my area?",other,,,"Provide estimated wait time information for the area",
9,conv_0117,"My promo code didn't apply at checkout. It says invalid but it worked last week",trip_fare_dispute,,,"Check promo code validity and apply manually if valid",
10,conv_0194,"Can I get a fare adjustment if the driver took a longer route?",trip_fare_dispute,,,"Review trip route and adjust fare if driver deviated",
11,conv_0158,"This is completely unacceptable. Worst ride experience of my life",complaint,,,"Acknowledge complaint and offer compensation",
12,conv_0094,"The app keeps crashing when I try to request a ride. Happening on both iPhone and Android",app_functionality,,,"Report app crash issue to technical team and suggest workaround",
13,conv_0109,"Payment failed but the ride still shows as active. I'm being charged for something I didn't complete",trip_fare_dispute,,,"Review payment and ride status to resolve discrepancy",
14,conv_0050,"I left my phone in the driver's car 3 hours ago and nobody is responding to my lost item request",ride_status,,,"Urgent: Escalate lost item retrieval immediately",
15,conv_0139,"My account was locked after too many login attempts. I need to get back in",account_access,,,"Help unlock account and reset credentials",
16,conv_0157,"Very disappointed with the service. Driver was 20 minutes late and then cancelled",complaint,,,"Acknowledge frustration and investigate driver behavior",
17,conv_0185,"The fare shown on my receipt doesn't match what the app estimated at booking",trip_fare_dispute,,,"Compare estimate vs actual fare and adjust if needed",
18,conv_0034,"My driver's location in the app hasn't updated in 10 minutes. Can't find them",ride_status,,,"Check driver GPS and provide accurate location",
19,conv_0082,"The app won't load the map at all. Just shows a blank screen every time I open it",app_functionality,,,"Report map loading issue and suggest reinstall",
20,conv_0015,"When will my scheduled ride arrive? I need to be at the airport in 2 hours",ride_status,,,"Check scheduled ride status and provide ETA",
21,conv_0074,"I was overcharged for my last ride. The final fare was $35 but the estimate was $12",trip_fare_dispute,,,"Review fare calculation and refund difference",
22,conv_0173,"Stop sending me promotional notifications. I've asked multiple times",other,,,"Remove from promotional notification list",
23,conv_0042,"My driver hasn't arrived yet and it's been 25 minutes. I'm going to miss my flight",ride_status,,,"Urgent: Dispatch new driver immediately",
24,conv_0197,"Thanks for the quick response last time!",other,,,"Acknowledge positive feedback",
25,conv_0077,"Error message every time I try to add a payment method. Says 'invalid card' but it works everywhere else",app_functionality,,,"Troubleshoot payment method addition issue",
26,conv_0167,"I need to cancel my Uber EATS subscription. How do I do that?",cancellation,,,"Provide cancellation instructions for subscription",
27,conv_0014,"My driver cancelled on me right after I got in the car. Had to find another ride",ride_status,,,"Investigate driver cancellation and provide credit",
28,conv_0073,"I requested a refund for a bad ride 2 weeks ago and still haven't received it",refund_request,,,"Check refund status and expedite if pending",
29,conv_0172,"I want to cancel my account and get a refund for my unused credits",cancellation,,,"Process account cancellation and credit refund",
30,conv_0114,"Payment didn't go through but money was deducted from my bank account",trip_fare_dispute,,,"Investigate payment discrepancy and resolve charge",
31,conv_0057,"I was charged a cancellation fee but the driver was the one who cancelled",trip_fare_dispute,,,"Review cancellation circumstances and refund fee",
32,conv_0064,"The driver took a completely wrong route and I was charged extra for it",trip_fare_dispute,,,"Review route and refund fare difference",
33,conv_0190,"Does Uber operate in my city? I can't find it in the app",other,,,"Provide service availability information",
34,conv_0135,"I can't remember which email I used to sign up for my account",account_access,,,"Help identify account via phone number or other details",
35,conv_0010,"Can I change my destination after the ride has started?",ride_status,,,"Explain destination change policy and process if possible",
36,conv_0044,"My driver is going in circles and adding to my fare on purpose",trip_fare_dispute,,,"Urgent: Escalate suspected fare fraud immediately",
37,conv_0195,"What are the peak hours for surge pricing in my area?",other,,,"Provide surge pricing information for the area",
38,conv_0054,"The ride estimate was $10 but I was charged $28. No surge was shown at booking",trip_fare_dispute,,,"Review fare calculation and refund overcharge",
39,conv_0026,"I need to update my pickup location for my scheduled ride tomorrow",ride_status,,,"Update pickup location for scheduled ride",
40,conv_0005,"When will my scheduled ride pick me up tomorrow?",ride_status,,,"Check scheduled ride details and provide ETA",
41,conv_0141,"Two-factor authentication code not working. Can't log into my account",account_access,,,"Troubleshoot 2FA and help regain account access",
42,conv_0103,"I was charged $9.99 twice for the same trip. Two identical charges",trip_fare_dispute,,,"Identify duplicate charges and process refund",
43,conv_0066,"How do I get a refund for a ride I never took?",refund_request,,,"Process refund for unused ride",
44,conv_0079,"The GPS in the app is completely wrong. Shows me on the other side of the city",app_functionality,,,"Report GPS issue and suggest recalibration",
45,conv_0153,"I've been waiting 10 days for a response about my complaint. Nobody cares",complaint,,,"Urgent: Escalate unresolved complaint immediately",
46,conv_0128,"Password reset email never arrives. I've tried 5 times",account_access,,,"Investigate email delivery issue and provide alternative reset method",
47,conv_0175,"I want to cancel my ride before the driver arrives. Will I be charged?",cancellation,,,"Explain cancellation policy based on driver proximity",
48,conv_0122,"Promo code not working at checkout. Says it's expired but I just received it",trip_fare_dispute,,,"Check promo code validity and apply if valid",
49,conv_0121,"The fare charged is different from what was shown when I booked",trip_fare_dispute,,,"Compare booking vs actual fare and adjust",
