example_id,conversation_id,customer_message,brand_response,auto_intent,auto_should_escalate,thread_length,timestamp,human_intent,human_should_escalate,annotator_notes
0,592765,@Uber_Support had lots of issues with the app this weekend. 3 pings shower addresses no even close to pax. Accepting some pings and system failed to connect.,"@260305 Happy to help! Send us a note here, https://t.co/zZ6Y806fuk and our team will follow up.",app_functionality,False,2,2017-12-03 17:31:32+00:00,,,
1,592767,".
.@115873 I’ve been waiting for 30 mins, now waiting for the 4th Uber driver. Drivers 1&amp;3 drove away from my location, driver 2 forgot his wallet, can’t get into my destination, driver 4 finally showed up 34 minutes after I called the first one.",@260306 Here to help! Send us a note via https://t.co/e8HVorX5rh to assist you further.,ride_status,False,2,2017-12-03 17:35:34+00:00,,,
2,592754,Uhmm @115877 I think someone has messed up my McDonalds order.. https://t.co/oqGCUqa9qn,@260301 We're here to help! Send us a DM with your email address and more details so we can follow up.,other,False,4,2017-12-03 17:35:37+00:00,,,
3,592735,"@Uber_Support Please train your drivers in basic manners! When I politely point out that I’ve been stood outside my front door in the cold while my Uber waits outside the wrong house down the street, I don’t expect to be told ‘just be happy darling’.",@260294 Here to help! Please send us a DM with your email address and phone number so we can connect.,ride_status,False,4,2017-12-03 17:37:21+00:00,,,
4,592748,Anyone know the Uber customer service number- they charged me twice for a single trip. @Uber_Support @115873 @133311,"@260299 Happy to help! Send us a note here, https://t.co/zJ6aIZinzb and our team will follow up.",ride_status,False,2,2017-12-03 17:38:24+00:00,,,
5,592750,Why isn't @30973 on @115877 or @345 !?,"@260300 Hi, Ayania! Send us a note here; https://t.co/NcKEnQDmxQ and our team will follow-up.",other,False,2,2017-12-03 17:38:53+00:00,,,
6,592759,"@Uber_Support someone signed up with my email (without dots, Google doesn't recognize dots in mails, and you should update your system to reflect this), so I'm receiving his trip notifications. Do something.

(The help section in your page is laughable).",@260303 Here to help! Send us a note via https://t.co/kGIXas5Cxg to assist you further.,ride_status,False,2,2017-12-03 17:39:22+00:00,,,
7,592756,@Uber_Support pls help i’ve been charged £16.66 for an uber i never took,@260302 Here to help! Send us a note via https://t.co/1xM0TILvAI to assist you further.,trip_fare_dispute,False,2,2017-12-03 17:39:53+00:00,,,
8,592746,"@Uber_Support absolutely pathetic. Booked two Uber drivers this evening, called them and they said they'll come. None of them bothered to come.",@260298 Here to help! Please send us a note via   https://t.co/K05RdmK3t4  so our team can connect.,ride_status,False,2,2017-12-03 17:43:14+00:00,,,
9,592744,"@Uber_Support We didn’t recieve our complete order, what do we do now? Ghent, belgium",@260297 Here to help! Please confirm your email address or phone number through direct message so we can further assist.,other,False,5,2017-12-03 17:43:59+00:00,,,
10,602816,"@Uber_Support @115873 for same distance, I pay 206.07 in the morning, and when come back only 55.02. For this kind of blackmail, what to do??? https://t.co/SQTjALZAqf","@259171 Hey, Hope. Go ahead and follow this link; https://t.co/sGoOyWzVQL for further assistance. If you have any further questions or concerns please don't hesitate to reach out.",other,False,2,2017-12-03 17:48:43+00:00,,,
11,592739,@115873  waiting on a response from you - travelled 6.3 miles in Leicester and charged over £26!!!   Not happy Uber ! https://t.co/g7SL7BkPBu,@260296 Let's take a closer look! Send us a DM with your email address so we can follow up.,ride_status,False,2,2017-12-03 17:49:45+00:00,,,
12,592728,@115877 is a joke when your driver keeps over half of your order. Never ordering from them again,@260292 Here to help! Send us a note via https://t.co/hVMgTsth35 to assist you further.,ride_status,False,2,2017-12-03 17:51:49+00:00,,,
13,592737,"@Uber_Support for a trip of 3.91 kms . I was charged 140 INR. What's the hell, why I was charge fare for 24.69 kms? What's wrong with Uber India?","@260295 Hi, Anurag! Sorry to hear about your experience. Send us a note here; https://t.co/oEOANqFpjc and our team will follow-up.",ride_status,False,2,2017-12-03 17:53:12+00:00,,,
14,592726,"After already waiting 20 minutes, my uber driver has gone from being 14 minutes away to 15 minutes away @Uber_Support. Not only that but if I cancel I'll incur a fee even though he's dropping someone off before picking me up? What a joke. https://t.co/E2zUIvbbsy",@260291 Here to help! Follow up here - https://t.co/e8HVorX5rh and our team will connect right away.,ride_status,False,2,2017-12-03 17:53:13+00:00,,,
15,592731,@Uber_Support can you DM me please? My app is not working,@260293 Here to help! Send us a DM with your email address with more info so we can assist.,app_functionality,False,3,2017-12-03 17:53:26+00:00,,,
16,594066,@Uber_Support Help. https://t.co/dkXnRbMdge,@260709 We're here to help! Send us a DM with your email address so we can assist.,other,False,2,2017-12-03 17:54:27+00:00,,,
17,594039,@Uber_Support hey I read on your website that your delivery fee for Uber Eats is $4.99 but it's coming up as $19.96 for me. Any reason for this?,@260699 We're here to help! Send us a DM with your email address and more details so we can follow up.,other,True,6,2017-12-03 17:56:15+00:00,,,
18,592724,Hey @115873 my driver decided to take a five minute coffee break and fill up in the middle of my ten minute drive. This is a joke right?,@260290 Sorry to hear about your experience! Kindly send us a note here; https://t.co/fS660rQ8NQ and our team will look into this.,ride_status,False,2,2017-12-03 17:56:23+00:00,,,
19,594064,"@115873 @Uber_Support @11970 On Friday a driver threatened to pull a gun on us, insulted and shoved us, but he reported us first, and we're still waiting on an email from you? What's up with that?",@260708 We take this very seriously. Please send us a DM with your email address so we can connect ASAP.,ride_status,False,2,2017-12-03 17:58:16+00:00,,,
20,594062,"@Uber_Support can you maybe not charge me for no reason EVERY single time I take an Uber?? that would b really cool. also, I want my money back. thanks",@260707 Here to help! Send us a note via https://t.co/1xM0TILvAI so our team can connect.,trip_fare_dispute,False,3,2017-12-03 17:59:18+00:00,,,
21,594059,@115873 guys please can you give me my money.  You charged me twice,@260706 Here to help! Follow up here - https://t.co/DceIRNI6kV and our team will connect right away.,trip_fare_dispute,False,2,2017-12-03 18:00:45+00:00,,,
22,594057,@Uber_Support Trying to reset my password but not receiving password reset email. Anyway to reset password without that email. __email__,@260705 It seems a member of our team has reached out to you. Please check your email and follow up with them there.,account_access,False,3,2017-12-03 18:02:10+00:00,,,
23,594054,i lost my phone and cannot contact with the driver @115873,"@260704 Here to help! Follow up here; https://t.co/oY5vj3NqP3, and our team will connect right away.",ride_status,False,2,2017-12-03 18:03:52+00:00,,,
24,594051,Yo @115873 you charged my credit card 3 times for 1 ride. Can I get refunded for my other 2 charges. I heard I’m not the 1st person who had this issue. This is a major issue you guys need to fix!!,@260703 Here to help. Send us a note at https://t.co/zJ6aIZinzb so our team can connect.,ride_status,False,2,2017-12-03 18:05:58+00:00,,,
25,601794,With Uber you have the freedom to make money whenever you like. You decide. https://t.co/tGfDFi2WlK,"@262808 Hi, Jahan! Kindly send us a DM with your email address and our team will follow-up.",other,True,6,2017-12-03 18:06:48+00:00,,,
26,594019,@Uber_Support today’s fare was charged more than the amount listed I paid INR 414...instead 129...GPS took us through a complete different route &amp; driver followed it blindly https://t.co/hDhgm3A3Vc,@260694 We're currently reviewing your email and will be in touch shortly. We appreciate your patience!,ride_status,False,2,2017-12-03 18:08:52+00:00,,,
27,594047,@Uber_Support the fact that your app tells me I have mock locations and rooting in my phone when I don't; but then suggests that I need to get a note 8 to fix it is not even cool. #frustrated,@256651 Happy to help. Send us a DM with your email address so we can follow up.,app_functionality,False,2,2017-12-03 18:12:01+00:00,,,
28,594049,@Uber_Support  I have called a driver and emailed uber multiple times about lost items and still won’t get a response. What do I do?,"@260702 Hi there, we're here to help! Can you send us a DM with your email address so we can connect?",ride_status,False,2,2017-12-03 18:12:29+00:00,,,
29,594045,fuck you @115873,@260701 Here to help! Send us a note at https://t.co/e8HVorX5rh so our team can connect.,other,False,3,2017-12-03 18:13:07+00:00,,,
30,594042,@Uber_Support I have lost my phone. I can't login to my account (due to 2FA) and I need to contact the driver about whether the phone was left in the vehicle.,@260700 We're here to help! Send us a DM with your email address so we can connect.,ride_status,False,2,2017-12-03 18:16:13+00:00,,,
31,594026,"@115873 pls don’t bill us $5 when driver cancels. Yes we can dispute easily in settings but it’s a slap in the face to be stranded outside in the cold when we’re waiting, then billed for it. Your tech is sophisticated to know which party cancels so pls, bill only when we do.",@260696 Here to help! Send us a note via https://t.co/h840Iouehc so our team can connect.,ride_status,False,2,2017-12-03 18:16:22+00:00,,,
32,594029,"I would like to know from @115873 and @200998 , do the uber driver and me, as a commuter, both have two different maps on our respective devices because I was denied pick up by my uber driver. On his device it showed 40minutes and on my  device (Uber app) 20minutes.","@260697 Hi, Sharaf! Kindly confirm your email address via direct message (DM) so that our team can assist you further.",ride_status,True,6,2017-12-03 18:17:51+00:00,,,
33,594034,"@115873 @Uber_Support I just got charged £122,50 for what was supposed to be a £9-£12 Uber ride - please help!!!",@260698 We've been in touch via DM!,ride_status,False,3,2017-12-03 18:18:12+00:00,,,
